date,year,month,commodity,source_commodity,monthly_average_price,admin1,admin2,market,pricetype,currency,unit
2009-10-15,2009,10,Cabbage,Cabbage,73.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-11-15,2009,11,Cabbage,Cabbage,85.19,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2009-12-15,2009,12,Cabbage,Cabbage,67.94,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-01-15,2010,1,Cabbage,Cabbage,35.75,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-02-15,2010,2,Cabbage,Cabbage,26.57,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-03-15,2010,3,Cabbage,Cabbage,25.16,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-04-15,2010,4,Cabbage,Cabbage,27.28,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-05-15,2010,5,Cabbage,Cabbage,30.4,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-06-15,2010,6,Cabbage,Cabbage,42.35,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-07-15,2010,7,Cabbage,Cabbage,30.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-08-15,2010,8,Cabbage,Cabbage,28.47,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-09-15,2010,9,Cabbage,Cabbage,36.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-10-15,2010,10,Cabbage,Cabbage,32.79,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-11-15,2010,11,Cabbage,Cabbage,29.06,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2010-12-15,2010,12,Cabbage,Cabbage,35.23,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-01-15,2012,1,Cabbage,Cabbage,33.88,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-02-15,2012,2,Cabbage,Cabbage,29.04,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-03-15,2012,3,Cabbage,Cabbage,33.34,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-04-15,2012,4,Cabbage,Cabbage,34.1,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-05-15,2012,5,Cabbage,Cabbage,36.54,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-06-15,2012,6,Cabbage,Cabbage,40.93,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-07-15,2012,7,Cabbage,Cabbage,42.11,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-08-15,2012,8,Cabbage,Cabbage,75.59,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-09-15,2012,9,Cabbage,Cabbage,78.51,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-10-15,2012,10,Cabbage,Cabbage,63.69,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2012-11-15,2012,11,Cabbage,Cabbage,43.83,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
2013-01-15,2013,1,Cabbage,Cabbage,34.27,National Capital region,Metropolitan Manila,Metro Manila,Retail,PHP,KG
